,cmplnt_num,cmplnt_fr_dt,crm_atpt_cptd_cd,juris_desc,law_cat_cd,loc_of_occur_desc,ofns_desc,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude
957,755403369,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,ASIAN / PACIFIC ISLANDER,M,40.764718266000045,-73.82799049099998
958,337836335,2021-12-20T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,GRAND LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,M,40.738972729000075,-73.85186268099994
959,887103818,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,ADMINISTRATIVE CODE,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK HISPANIC,M,40.85074173900006,-73.91508303799998
960,724747292,2021-12-23T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK,M,40.683363040000074,-73.97486713399996
961,273390913,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,18-24,BLACK HISPANIC,F,40.87726359900005,-73.88075797299997
962,287669378,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,45-64,WHITE HISPANIC,M,40.861360651000034,-73.89773818699997
963,380110218,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE,M,40.669484613000066,-73.98605085699995
964,724443189,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,SEX CRIMES,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK,F,40.800694331000045,-73.94110928599997
965,599843291,2021-12-31T00:00:00.000,COMPLETED,N.Y. TRANSIT POLICE,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,18-24,ASIAN / PACIFIC ISLANDER,M,40.75205830300007,-73.92790985999993
966,269139901,2021-12-20T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,THEFT-FRAUD,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE,F,40.59427499000003,-73.96285617799998
967,678528665,2021-12-23T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,45-64,WHITE,F,40.71892916400003,-74.01134696199995
968,570321378,2017-01-01T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,OFF. AGNST PUB ORD SENSBLTY &,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE,F,40.724991611000064,-73.98279582399994
969,165310887,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,INTOXICATED & IMPAIRED DRIVING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,E,40.73621285000007,-73.98817307099996
970,541674398,2021-12-20T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,GRAND LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,M,40.74559540300004,-73.86259533599997
971,902665800,2021-12-28T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,FELONY ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK HISPANIC,F,40.74293488600006,-73.86893062599995
972,200837589,2021-12-29T00:00:00.000,COMPLETED,N.Y. HOUSING POLICE,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,45-64,BLACK HISPANIC,F,40.838265741000036,-73.90299584299999
973,911889899,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,BURGLARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.662757726000045,-73.99196354399999
